id,name,description,neighborhood_overview,host_id,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,amenities_count,listing_id,review_count,first_review_date,last_review_date,review_span_days
96033,"Bonito piso a 200m de la playa, El Palo (Málaga)","Do you have a backpacker spirit and are looking for a nice, simple and affordable place in a popular neighborhood, with lots of life and very well connected? Book it! Nice 2 bedroom flat, 200 metres from the beaches of El Palo, Málaga. Equipped for 3 people, ideal for a couple, friends or a small family. Spacious and bright living room. Kitchen. Bathroom. Internet (fiber). Supermarket and bakery at 50 m. One step away from the seafront. Buses to Málaga Centro: 3, 8 or 11 (ticket €1.40).","200 metres from the beaches of El Palo, Malaga's old fishing district. In front of the Carrefour Express supermarket, the bakery where you can also have breakfast if you feel like it, next to the tobacconist where you can buy the bus card (3, 8 or 11), and less than 3 minutes from the promenade where you can taste the typical Malaga spit (grilled sardine) or ""fried fish"", in addition to the wide range of bars and restaurants in Malaga, the heart of Mediterranean cuisine.",510467,Rafael,2011-04-15,"Andalusia, Spain","¡Hola! Gracias por acercarte a nosotros y encantados de saludarte. Nos encanta hacer que la gente se sienta como en casa, ofrecerles una experiencia agradable y placentera para sus vacaciones junto al mar. También nos apasiona viajar, el diseño, la ilustración, la lectura, la música, el ciclismo, la decoración, la cocina y además... nos encantan los perros. Esperamos tener noticias tuyas pronto. Saludos muy cordiales.",within an hour,100.0,100.0,1.0,,1,1,1,Este,,36.72031,-4.35627,Entire rental unit,Entire home/apt,3,1.0,1 bath,2.0,2.0,"[""Kitchen"", ""Conditioner"", ""Heating"", ""Essentials"", ""Ethernet connection"", ""Wine glasses"", ""City skyline view"", ""Free street parking"", ""Shampoo"", ""Bed linens"", ""Beach essentials"", ""20 inch TV"", ""Refrigerator"", ""Wifi"", ""Waterfront"", ""Free washer \u2013 In unit"", ""Ceiling fan"", ""Dedicated workspace"", ""Clothing storage: closet"", ""Children\u2019s dinnerware"", ""Iron"", ""First aid kit"", ""Shared beach access"", ""Smoking allowed"", ""Shower gel"", ""Microwave"", ""Drying rack for clothing"", ""Hair dryer"", ""Books and reading material"", ""Host greets you"", ""High chair"", ""Body soap"", ""Extra pillows and blankets"", ""Cooking basics"", ""Room-darkening shades"", ""Coffee maker: pour-over coffee"", ""Hot water"", ""Coffee"", ""Sound system"", ""Luggage dropoff allowed"", ""Portable fans"", ""Dishes and silverware"", ""Dining table"", ""Children\u2019s books and toys"", ""Elevator"", ""Crib"", ""Hangers"", ""Balay stainless steel gas stove"", ""Hot water kettle"", ""Freezer"", ""Cleaning products""]",58.0,3,7,3.0,3.0,1125.0,1125.0,3.0,1125.0,1.0,6,36,62,324,274,40,3,65,37,2013-10-18,2025-09-29,4.61,4.7,4.62,4.88,4.93,4.44,4.61,ESFCTU0000290200003588210000000000000000VUT/MA/220430,0,1,1,0,0,1.88,51,96033.0,274,2013-10-18,2025-09-29,4364.0
166473,Perfect Location In Malaga,This apartment is rented out by the room - new kitchen and renovations carried out Oct 2020. Please confirm availability before making a booking. This is a 4 bedroom apartment one minute from the beaches in El Palo. A village feel but in the city of Malaga. Everything you need inside the apartment and all amenities within a 5 minute walk. I sometimes live in the apartment but am always available. Just read the reviews. Pricing fluctuates so just ask.,,793360,Fred,2011-07-08,"El Faro, Spain","Hi All, my name is Fred and I am half Swedish and half English but live here in Spain full time. My company is based out of La Habana in Cuba www.cubaprofessionals.com My greatest love in life is meeting new people and that is the added bonus of this site. I look forward to welcoming you soon.",within a day,100.0,88.0,1.0,,5,5,1,Este,,36.72031,-4.36108,Private room in rental unit,Private room,1,2.0,2 shared baths,1.0,4.0,"[""Kitchen"", ""Heating"", ""Essentials"", ""Fire extinguisher"", ""Refrigerator"", ""Wifi"", ""Dryer"", ""Dedicated workspace"", ""Iron"", ""Smoking allowed"", ""Hair dryer"", ""TV"", ""Cooking basics"", ""Private entrance"", ""Hot water"", ""Patio or balcony"", ""Dishes and silverware"", ""Elevator"", ""Hangers"", ""Washer"", ""Lock on bedroom door""]",28.0,5,365,5.0,5.0,365.0,365.0,5.0,365.0,1.0,0,10,23,288,102,3,0,23,6,2011-08-25,2025-03-27,4.73,4.6,4.5,4.83,4.91,4.8,4.72,,0,5,1,4,0,0.59,21,166473.0,102,2011-08-25,2025-03-27,4963.0
330760,Malaga Lodge Guesthouse Double room-shared bath.,"The Lodge is set in a charming town house in La Victoria district, around 10 minutes’ walk from the city centre. It offers a typical Andalusian pretty tiled kitchen where guests can prepare meals. Bathrooms are shared. Double or Twin rooms available RTA: VFT/MA/12240","Málaga Lodge is situated next to the famous Santuario de la Victoria church. The Roman Theatre and the Alcazaba are around 15 minutes’ walk from the guest house. Malaga Centro is a great choice for travellers interested in Tapas, Museums and Shopping.",1687526,Mayte,2012-02-02,Spain,"Dear guest, My name is Mayte Moreno Higgins. I would love to share with you my experience as a host, I'm sure you will feel like being at home. ""Mi casa, su casa!! Málaga Lodge is a melting pot of these knowledge offering flexibility and freedom on self-catering base. I love the finer things in life - good food, fine wine, hanging out with friends and getting to meet new people from different countries. Thanks and best regards, Mayte",within an hour,91.0,100.0,0.0,,7,9,1,Centro,,36.729786,-4.413462,Private room in townhouse,Private room,2,1.5,1.5 shared baths,1.0,1.0,"[""Kitchen"", ""Essentials"", ""Ethernet connection"", ""Fire extinguisher"", ""City skyline view"", ""Wine glasses"", ""Free street parking"", ""Outdoor playground"", ""Shampoo"", ""Paid washer \u2013 In building"", ""Bed linens"", ""Hot water kettle"", ""Beach essentials"", ""Coffee maker: drip coffee maker"", ""Long term stays allowed"", ""Self check-in"", ""Refrigerator"", ""Wifi"", ""Pocket wifi"", ""Blender"", ""Ceiling fan"", ""Stove"", ""Exterior security cameras on property"", ""Dedicated workspace"", ""Freezer"", ""Dishwasher"", ""Clothing storage: closet"", ""First aid kit"", ""Iron"", ""Shower gel"", ""Microwave"", ""Drying rack for clothing"", ""Hair dryer"", ""Books and reading material"", ""Body soap"", ""Toaster"", ""Extra pillows and blankets"", ""Central heating"", ""Cooking basics"", ""Room-darkening shades"", ""Keypad"", ""Hot water"", ""Coffee"", ""32 inch HDTV"", ""Bread maker"", ""Dishes and silverware"", ""Laundromat nearby"", ""Dining table"", ""Luggage dropoff allowed"", ""Oven"", ""Hangers"", ""Paid parking garage off premises"", ""Central air conditioning"", ""Lock on bedroom door"", ""Paid dryer \u2013 In building"", ""Cleaning products""]",60.0,1,1125,1.0,1.0,365.0,365.0,1.0,365.0,1.0,14,39,60,64,68,12,1,63,4,2012-02-23,2025-09-04,4.55,4.64,4.75,4.66,4.62,4.52,4.48,ESHFTU0000290200004234200060000000000000VFT/MA/122402,1,6,4,2,0,0.41,56,330760.0,68,2012-02-23,2025-09-04,4942.0
340024,NEW APARTMENT IN MALAGA CENTER,Welcome to Málaga! This is a modern and elegant apartment for two guests. It has a bright bedroom with a comfy double bed where you are going to have very relaxing nights. In the living room you are going to find a comfortable sofa a flat screen TV,"It is a central area and has all kinds of services to restaurants, banks, pharmacies and general stores.",1725690,Carlos,2012-02-09,"Andalusia, Spain","En cuanto a la actividad para el alquiler del apartamento, me gusta hacer que la estancia de mis inquilinos sea lo más agradable posible, intentado en todo momento responder a sus preguntas y peticiones.",within an hour,100.0,100.0,0.0,,1,1,1,Centro,,36.72813,-4.41422,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Kitchen"", ""Heating"", ""Smoke alarm"", ""Essentials"", ""Ethernet connection"", ""Fire extinguisher"", ""Wine glasses"", ""Free street parking"", ""Shampoo"", ""Bed linens"", ""Beach essentials"", ""Long term stays allowed"", ""Bidet"", ""Self check-in"", ""Wifi \u2013 3 Mbps"", ""Refrigerator"", ""Blender"", ""Carbon monoxide alarm"", ""Lockbox"", ""Stove"", ""Clothing storage: closet"", ""First aid kit"", ""Iron"", ""Smoking allowed"", ""Shower gel"", ""Free washer \u2013 In building"", ""Drying rack for clothing"", ""Hair dryer"", ""Microwave"", ""32 inch TV"", ""Books and reading material"", ""Host greets you"", ""AC - split type ductless system"", ""Toaster"", ""Extra pillows and blankets"", ""Cooking basics"", ""Room-darkening shades"", ""Hot water"", ""Coffee"", ""Laundromat nearby"", ""Dishes and silverware"", ""Dining table"", ""Elevator"", ""Oven"", ""Hangers"", ""Coffee maker"", ""Gel body soap"", ""Single level home"", ""Freezer"", ""Beach access"", ""Bathtub"", ""Cleaning products""]",61.0,3,1125,3.0,3.0,1125.0,1125.0,3.0,1125.0,1.0,5,13,33,297,322,38,1,34,45,2013-03-18,2025-09-09,4.79,4.86,4.83,4.83,4.79,4.72,4.77,VFT/MA/02334,0,1,1,0,0,2.11,52,340024.0,322,2013-03-18,2025-09-09,4558.0
358541,Casa La Maga - Apartment for happy people,"For years, Raúl and I were super happy in this apartment. Then Lola and Pepe were born and we had to move. Now we are thrilled to think that other happy people will enjoy staying here. The best thing about the apartment is, with no doubt, that it is in the heart of the historic center, a few steps from the new Carmen Thyssen Museum and 5 minutes from the Picasso Museum, the Picasso Foundation, Calle Larios, the Cathedral ... and less than 20 minutes walk from the beach!","The apartment is in the very heart of Malaga Center. Calle Larios is 3 minutes walking. The Cathedral 5 minutes. The Picasso Museum 6 minutes. The port 10 minutes. In addition to the main tourist attractions, in the surroundings you will find restaurants, supermarkets and above all, a lot of life. If you are expecting country quiet at night, this may not be a fit for you.",1526932,Cristina,2011-12-22,"Andalusia, Spain","Me llamo Cristina. Vivo en Málaga con Raúl y las pequeños Lola y Pepe. Soy parte del estudio de diseño La Madre de los Beatles. Durante años hemos sido muy felices en casa La Maga, el apartamento que ahora alquilamos y por eso nos encanta pensar que todavía le quedan muchos días felices por delante.",within a day,86.0,78.0,0.0,,1,1,1,Centro,,36.72374,-4.4213,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Kitchen"", ""Heating"", ""Essentials"", ""Ethernet connection"", ""Wine glasses"", ""Shampoo"", ""Bed linens"", ""Long term stays allowed"", ""TV with Chromecast"", ""Refrigerator"", ""Wifi"", ""Electric stove"", ""Air conditioning"", ""Dedicated workspace"", ""First aid kit"", ""Iron"", ""Shower gel"", ""Microwave"", ""Drying rack for clothing"", ""Hair dryer"", ""Host greets you"", ""Body soap"", ""Cooking basics"", ""Room-darkening shades"", ""Paid parking lot off premises"", ""Hot water"", ""Laundromat nearby"", ""Dishes and silverware"", ""Elevator"", ""Mini fridge"", ""Baking sheet"", ""Hangers"", ""Coffee maker"", ""Clothing storage"", ""Washer"", ""Hot water kettle"", ""Freezer"", ""Cleaning products""]",87.0,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,1.0,3,4,4,195,405,23,0,4,24,2012-04-25,2025-07-27,4.76,4.86,4.66,4.95,4.97,4.8,4.78,VFT/MA/02288,0,1,1,0,0,2.48,38,358541.0,405,2012-04-25,2025-07-27,4841.0
413063,Apartment historical centre Malaga,"Beeing in the pedestrian area of the historical centre, you have found here your headquarter to discover Málaga.","In the very downtown centre, just approx. 50m from the ""Plaza de la Constitución"".",2055304,Michael,2012-04-02,"Malaga, Spain","I work in a language school in the centre of Málaga. If you need a Spanish language course or a small introduction in Spanish language just for travel, I can organise it for you. Hope you enjoy your stay. Welcome in beautiful Málaga! Bienvenido! Willkommen! Bienvenu!",within an hour,100.0,94.0,1.0,,1,1,1,Centro,,36.720215,-4.42297,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Kitchen"", ""Heating"", ""Essentials"", ""Bed linens"", ""Bidet"", ""Refrigerator"", ""Wifi"", ""Ceiling fan"", ""Stove"", ""Dishwasher"", ""Iron"", ""Microwave"", ""Drying rack for clothing"", ""Hair dryer"", ""TV"", ""Host greets you"", ""Body soap"", ""AC - split type ductless system"", ""Cooking basics"", ""Room-darkening shades"", ""Hot water"", ""Dishes and silverware"", ""Elevator"", ""Oven"", ""Hangers"", ""Clothing storage: wardrobe"", ""Washer""]",78.0,4,1125,4.0,5.0,1125.0,1125.0,4.0,1125.0,1.0,19,24,32,276,52,15,1,32,10,2012-08-20,2025-09-03,4.76,4.79,4.73,4.88,4.81,4.94,4.59,CTC-2023053184,0,1,1,0,0,0.33,27,413063.0,52,2012-08-20,2025-09-03,4762.0
421077,LUXURY MALAGA HISTORIC CENTER BEACH,"Exclusive luxury housing. Very cozy and comfortable. It has all the amenities of an innovative housing with a very elegant and modern style. With luxury amenities, including home automation (smart home). There are superb qualities.","The wonderful city's historic center. The neighborhood is very safe in the heart of the nerve center. There is a lot of diversity in the neighborhood in a very cordial and pleasant atmosphere, very lively. In the palpitations of the heart of Malaga citizenship. Authentic and cultural!! ; D",2092252,Juliette,2012-04-08,"Málaga, Spain","Me encanta sentirme útil y ayudar a los demás. Soy soñadora e idealista, entusiasta y emprendedora. Detallista y cuidadosa. Amante de la naturaleza y del arte sobre todo de la música, una de mis grandes pasiones y dedicaciones. Adoro la arquitectura y la decoración. Me encanta disfrutar de improvisados momentos, de buena comida, si es en compañia y viajando mejor que mejor!!! para mi es un honor hacer realidad el sueño de la mejor estancia de mis huéspedes, para que tengan una experiencia inolvidable en mi ciudad. I love to be useful and help others. It will be a pleasure to realize the dream of the best stay of my guests, to have an unforgettable experience in my city.",within a few hours,80.0,45.0,0.0,El Atabal,15,29,1,Centro,,36.721,-4.42454,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Kitchen"", ""Heating"", ""Essentials"", ""Bed linens"", ""Long term stays allowed"", ""Babysitter recommendations"", ""Refrigerator"", ""Wifi"", ""Waterfront"", ""Air conditioning"", ""Stove"", ""Dedicated workspace"", ""First aid kit"", ""Iron"", ""Shower gel"", ""Drying rack for clothing"", ""Hair dryer"", ""Outlet covers"", ""Paid parking off premises"", ""TV"", ""Paid pack \u2019n play/travel crib - available upon request"", ""Body soap"", ""Toaster"", ""Extra pillows and blankets"", ""Cooking basics"", ""Room-darkening shades"", ""Paid parking garage on premises \u2013 1 space"", ""Coffee maker: pour-over coffee"", ""Hot water"", ""Patio or balcony"", ""Pets allowed"", ""Laundromat nearby"", ""Dishes and silverware"", ""Paid dryer"", ""Dining table"", ""Elevator"", ""Hangers"", ""Clothing storage"", ""Single level home"", ""Hot water kettle"", ""Paid crib - available upon request"", ""Cleaning products""]",71.0,5,730,1.0,5.0,730.0,730.0,4.4,730.0,1.0,25,55,85,360,109,5,0,88,10,2012-05-19,2025-08-19,4.45,4.43,4.6,4.54,4.58,4.78,4.41,H,0,13,12,1,0,0.67,42,421077.0,109,2012-05-19,2025-08-19,4840.0
427860,A great luxury room in the center,"Housing in the center of Malaga. Very close to the beach. All the comforts in a luxury home. Two bedrooms available. Very bright, silent and with total privacy. Excellent communications infrastructure and all kinds of shops in the area.",Magnificent infrastructure All kinds of shops and services. Taxi stand on the opposite sidewalk. Bus at the door of the building. Access to the highway 2 minutes. Private parking and public parking areas.,2126353,Pablo,2012-04-12,"Malaga, Spain","Soy un hombre maduro y responsable. Serio en lo importante y divertido en lo cotidiano. Padre de dos hijos y empresario. Me gusta cocinar, tengo una cocina grande y con mucha luz. Me gusta leer y escribir. También salir, pasear, conversar.",within an hour,100.0,100.0,0.0,,3,3,1,Centro,,36.73323440551758,-4.415975093841553,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,2.0,"[""Kitchen"", ""Heating"", ""Private patio or balcony"", ""Smoke alarm"", ""Essentials"", ""Ethernet connection"", ""Fire extinguisher"", ""City skyline view"", ""Wine glasses"", ""Free street parking"", ""Shampoo"", ""Bed linens"", ""Long term stays allowed"", ""Bidet"", ""Refrigerator"", ""Wifi"", ""Waterfront"", ""Pocket wifi"", ""Free washer \u2013 In unit"", ""Blender"", ""Dedicated workspace"", ""Shared beach access"", ""First aid kit"", ""Iron"", ""Smoking allowed"", ""Shower gel"", ""Microwave"", ""Drying rack for clothing"", ""Hair dryer"", ""Housekeeping available Saturday"", ""Mountain view"", ""Paid parking off premises"", ""Books and reading material"", ""Stainless steel electric stove"", ""Host greets you"", ""Body soap"", ""AC - split type ductless system"", ""Extra pillows and blankets"", ""Cooking basics"", ""Toaster"", ""Trash compactor"", ""Room-darkening shades"", ""Coffee maker: pour-over coffee"", ""Hot water"", ""Board games"", ""Luggage dropoff allowed"", ""Bread maker"", ""Dishes and silverware"", ""Laundromat nearby"", ""Dining table"", ""Elevator"", ""Oven"", ""Hangers"", ""Hot water kettle"", ""Clothing storage: closet and dresser"", ""Freezer"", ""Bathtub"", ""Cleaning products""]",36.0,3,1125,3.0,3.0,1125.0,1125.0,3.0,1125.0,1.0,0,0,0,0,23,0,0,0,2,2012-08-17,2024-05-01,4.36,4.43,3.96,4.77,4.61,4.45,4.18,CTC-2019124497,0,3,0,3,0,0.14,58,427860.0,23,2012-08-17,2024-05-01,4275.0
505688,Duplex Apartment in Malaga Center,"Spacious duplex apartment with modern and clear design. Located in a quiet pedestrian street in Malaga Historic Center is perfect to visit the city, just walking. Nearby supermarket and parking. Registro de Turismo de Andalucía : VUT/MA/00643","The apartment is located in a small pedestrian street near to Teatro Cervantes, in the historic center of Málaga. Any place you´d like to visit will be really close. Museums, Cathedral, Roman Theater, Alcazaba, Picasso´s house, bullring, seaport are near to the apartment, so you can walk there. Even the beach is nearby, just 15 minutes walk to Malagueta beach. In the area, you can find supermarkets, bakery, small groceries, pharmacies, and atms. The offer and variety of bars and restaurants is enormous. At your arrival, I can give you some tips about places to go (and not to go",2489890,Fede,2012-05-29,"Malaga, Spain","¡Hola! Soy Fede! Si necesitas cualquier tipo de información antes de organizar tu viaje a Málaga, no dudes en consultarme.",within a few hours,95.0,87.0,0.0,,13,22,1,Centro,,36.72402,-4.42013,Entire loft,Entire home/apt,4,1.0,1 bath,2.0,2.0,"[""Kitchen"", ""Private patio or balcony"", ""Essentials"", ""Fire extinguisher"", ""Bed linens"", ""Balay electric stove"", ""Long term stays allowed"", ""24 inch HDTV with standard cable"", ""Refrigerator"", ""Free washer \u2013 In unit"", ""Heating - split type ductless system"", ""Clothing storage: closet"", ""First aid kit"", ""Iron"", ""Outdoor furniture"", ""Microwave"", ""Drying rack for clothing"", ""Hair dryer"", ""Host greets you"", ""AC - split type ductless system"", ""Toaster"", ""Cooking basics"", ""Hot water"", ""Dishes and silverware"", ""Dining table"", ""Hangers"", ""Wifi \u2013 36 Mbps"", ""Coffee maker"", ""Hot water kettle"", ""Freezer""]",86.0,4,60,4.0,7.0,60.0,60.0,4.3,60.0,1.0,16,46,63,63,243,12,2,63,14,2012-07-28,2025-09-10,4.69,4.81,4.66,4.94,4.95,4.85,4.72,ESFCTU0000290270005647710000000000000000VUT/MA/006430,0,13,13,0,0,1.51,30,505688.0,243,2012-07-28,2025-09-10,4792.0
507961,Duplex Apartment. Malaga Center,"Spacious duplex apartment with modern and clear design. Located in a quiet pedestrian street in Malaga Historic Center is perfect to visit the city, just walking. Nearby supermarket and parking. Registro de Turismo de Andalucía : VUT/MA/00641","Apartment is located in an small pedestrian street near to Teatro Cervantes, in the historic center of Málaga. Any place you´d like to visit will be really close. Museums, Cathedral, Roman Theater, Alcazaba, Picasso´s house, bullring, seaport are near to the apartment, so you can walk there. Even the beach is nearby, just 15 minutes walk to Malagueta beach. In the area you can find supermarkets, bakery, small groceries, pharmacies and atms. The offer and variety of bars and restaurants is enormous. At your arrival I can give you some tips about places to go (and not to go).",2489890,Fede,2012-05-29,"Malaga, Spain","¡Hola! Soy Fede! Si necesitas cualquier tipo de información antes de organizar tu viaje a Málaga, no dudes en consultarme.",within a few hours,95.0,87.0,0.0,,13,22,1,Centro,,36.72387,-4.41937,Entire loft,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Kitchen"", ""Private patio or balcony"", ""Essentials"", ""Fire extinguisher"", ""Wifi \u2013 40 Mbps"", ""Bed linens"", ""Balay electric stove"", ""Long term stays allowed"", ""24 inch HDTV with standard cable"", ""Refrigerator"", ""Free washer \u2013 In unit"", ""Heating - split type ductless system"", ""Clothing storage: closet"", ""First aid kit"", ""Iron"", ""Shared beach access"", ""Outdoor furniture"", ""Microwave"", ""Drying rack for clothing"", ""Hair dryer"", ""Host greets you"", ""AC - split type ductless system"", ""Toaster"", ""Cooking basics"", ""Hot water"", ""Dishes and silverware"", ""Dining table"", ""Hangers"", ""Coffee maker"", ""Hot water kettle"", ""Freezer""]",72.0,4,1125,4.0,7.0,1125.0,1125.0,4.3,1125.0,1.0,9,39,63,63,216,19,0,63,20,2012-06-18,2025-08-24,4.74,4.8,4.68,4.97,4.96,4.84,4.7,ESFCTU0000290270005647640000000000000000VUT/MA/006418,0,13,13,0,0,1.34,31,507961.0,216,2012-06-18,2025-08-24,4815.0
